Rtoe_off,Rfeet_adjacent,Rtibia_vertical,Rinitial_contact,Rfoot_flat,Rheel_rise,R__oppo_heel,Ltoe_off,Lfeet_adjacent,Ltibia_vertical,Linitial_contact,Lfoot_flat,Lheel_rise,L__oppo_heel
83,96,108,127,138,170,173,31,41,53,72,83,124,127
184,191,202,222,232,262,266,138,117,155,173,184,218,222
276,283,295,313,323,353,355,232,194,247,266,276,310,313
366,371,383,401,410,439,442,323,286,339,355,366,397,401
452,458,469,487,497,525,526,410,376,425,442,452,484,487
537,542,553,571,581,611,612,497,463,512,526,537,568,571
623,628,639,656,666,698,700,581,547,597,612,623,653,656
710,714,726,746,757,791,794,666,633,684,700,710,742,746
804,811,823,842,852,884,887,757,720,777,794,804,838,842
897,904,915,932,942,973,974,852,815,869,887,897,929,932
986,991,1001,1019,1030,1063,1066,942,907,958,974,986,1016,1019
1076,1080,1092,1110,1120,1151,1152,1030,996,1048,1066,1076,1107,1110
1164,1169,1180,1199,1208,1238,1243,1120,1086,1136,1152,1164,1195,1199
1252,1259,1270,1288,1297,1327,1328,1208,1174,1223,1243,1252,1284,1288
1339,1343,1355,1373,1383,1414,1417,1297,1263,1313,1328,1339,1370,1373
1427,1434,1446,1465,1474,1504,1506,1383,1349,1400,1417,1427,1461,1465
1517,1522,1534,1552,1562,1593,1596,1474,1437,1489,1506,1517,1549,1552
1606,1613,1626,1644,1653,1683,1685,1562,1527,1578,1596,1606,1640,1644
1697,1705,1717,1735,1745,1778,1781,1653,1616,1668,1685,1697,1732,1735
1792,1801,1813,1831,1841,1873,1875,1745,1707,1762,1781,1792,1828,1831
1886,1893,1905,1922,1932,1963,1965,1841,1751,1858,1875,1886,1919,1922
1976,1983,1996,2013,2023,2054,2057,1932,1846,1948,1965,1976,2010,2013
2068,2075,2088,2105,2115,2145,2149,2023,1937,2039,2057,2068,2102,2105
2159,2166,2178,2196,2206,2236,2237,2115,2028,2130,2149,2159,2193,2196
2249,2257,2269,2287,2298,2327,2330,2206,2119,2221,2237,2249,2284,2287
2341,2350,2362,2380,2390,2420,2424,2298,2209,2312,2330,2341,2377,2380
