R_initial_swing,R_mid_swing,R_terminal_swing,R_loading_response,R_mid_stance,R_terminal_stance,R_pre_swing,R_one_response,R_two_response,R_one_distance,R_two_distance,R_swing_phase,R_stance_phase,L_initial_swing,L_mid_swing,L_terminal_swing,L_loading_response,L_mid_stance,L_terminal_stance,L_pre_swing,L_one_response,L_two_response,L_one_distance,L_two_distance,L_swing_phase,L_stance_phase
12.0,-5.0,17.0,15.0,36.0,29.0,-4.0,89.0,11.0,0.39,1.0,24.0,76.0,34.95,9.71,18.45,10.68,0.0,9.71,16.5,72.82,27.18,0.61,1.03,63.11,36.89
13.64,-8.18,17.27,15.45,32.73,29.09,0.0,84.55,15.45,0.42,1.1,22.73,77.27,33.03,10.09,19.27,10.09,0.0,8.26,19.27,70.65,29.36,0.68,1.09,62.39,37.62
10.48,-2.86,11.43,20.0,34.29,26.67,0.0,80.01,20.0,0.41,1.05,19.05,80.96,33.64,8.41,17.76,12.15,0.0,8.41,19.63,68.22,31.78,0.64,1.07,59.81,40.19
12.15,-4.67,13.08,19.63,30.84,27.1,1.87,78.5,21.5,0.43,1.07,20.56,79.44,31.73,8.65,19.23,11.54,0.0,12.5,16.35,72.11,27.89,0.64,1.04,59.61,40.39
10.1,-4.04,17.17,17.17,34.34,26.26,-1.01,83.83,16.16,0.4,0.99,23.23,76.76,35.79,9.47,17.89,12.63,0.0,9.47,14.74,72.62,27.37,0.59,0.95,63.15,36.84
14.44,-7.78,17.78,15.56,36.67,28.89,-5.56,90.0,10.0,0.36,0.9,24.44,75.56,34.74,8.42,18.95,11.58,0.0,9.47,16.84,71.58,28.42,0.54,0.95,62.11,37.89
15.84,-9.9,18.81,15.84,33.66,27.72,-1.98,86.13,13.86,0.41,1.01,24.75,75.24,34.69,9.18,19.39,11.22,0.0,11.22,14.29,74.48,25.51,0.6,0.98,63.26,36.73
13.4,-7.22,18.56,14.43,35.05,29.9,-4.12,89.69,10.31,0.38,0.97,24.74,75.26,35.05,10.31,19.59,11.34,0.0,9.28,14.43,74.23,25.77,0.59,0.97,64.95,35.05
15.96,-9.57,19.15,14.89,35.11,30.85,-6.38,91.5,8.51,0.38,0.94,25.54,74.47,35.11,8.51,22.34,9.57,0.0,11.7,12.77,77.66,22.34,0.56,0.94,65.96,34.04
15.46,-9.28,20.62,12.37,34.02,29.9,-3.09,90.72,9.28,0.38,0.97,26.8,73.2,33.67,9.18,20.41,11.22,0.0,9.18,16.33,72.44,27.55,0.59,0.98,63.26,36.73
