R_initial_swing,R_mid_swing,R_terminal_swing,R_loading_response,R_mid_stance,R_terminal_stance,R_pre_swing,R_one_response,R_two_response,R_one_distance,R_two_distance,R_swing_phase,R_stance_phase,L_initial_swing,L_mid_swing,L_terminal_swing,L_loading_response,L_mid_stance,L_terminal_stance,L_pre_swing,L_one_response,L_two_response,L_one_distance,L_two_distance,L_swing_phase,L_stance_phase
11.03,9.56,16.18,10.29,13.97,27.21,11.76,77.95,22.05,0.64,1.36,36.77,63.23,12.59,11.11,15.56,13.33,11.11,25.93,10.37,76.3,23.7,0.71,1.35,39.26,60.74
12.32,9.42,15.22,10.14,11.59,27.54,13.77,76.09,23.91,0.65,1.38,36.96,63.04,13.87,10.95,16.06,11.68,12.41,24.82,10.22,78.11,21.9,0.72,1.37,40.88,59.13
13.38,8.45,17.61,8.45,11.97,26.06,14.08,77.47,22.53,0.68,1.42,39.44,60.56,11.35,11.35,15.6,13.48,13.48,26.24,8.51,78.02,21.99,0.73,1.41,38.3,61.71
12.32,9.42,14.49,10.14,13.04,28.26,12.32,77.53,22.46,0.64,1.38,36.23,63.76,12.32,10.14,16.67,14.49,12.32,23.91,10.14,75.36,24.63,0.74,1.38,39.13,60.86
12.41,9.66,14.48,8.97,14.48,25.52,14.48,76.55,23.45,0.66,1.45,36.55,63.45,12.86,11.43,16.43,12.14,12.86,25.0,9.29,78.58,21.43,0.74,1.4,40.72,59.29
15.17,8.28,13.79,8.97,14.48,28.97,10.34,80.69,19.31,0.67,1.45,37.24,62.76,14.38,9.59,15.75,14.38,15.07,21.92,8.9,76.71,23.28,0.79,1.46,39.72,60.27
13.7,9.59,13.01,9.59,10.96,28.08,15.07,75.34,24.66,0.67,1.46,36.3,63.7,14.48,11.72,17.24,10.34,13.79,22.76,9.66,79.99,20.0,0.78,1.45,43.44,56.55
20.59,8.24,11.76,8.82,16.47,22.94,11.18,80.0,20.0,0.84,1.7,40.59,59.41,9.82,11.04,14.11,13.5,21.47,20.86,9.2,77.3,22.7,0.79,1.63,34.97,65.03
19.25,9.94,9.32,11.8,15.53,24.22,9.94,78.26,21.74,0.81,1.61,38.51,61.49,16.77,10.18,13.17,11.38,18.56,18.56,11.38,77.24,22.76,0.86,1.67,40.12,59.88
10.29,9.56,16.18,11.76,13.97,27.94,10.29,77.94,22.05,0.65,1.36,36.03,63.96,17.24,10.34,16.55,11.03,9.66,24.14,11.03,77.93,22.06,0.8,1.45,44.13,55.86
10.77,10.0,16.92,9.23,12.31,28.46,12.31,78.46,21.54,0.61,1.3,37.69,62.31,14.39,12.12,16.67,10.61,10.61,26.52,9.09,80.31,19.7,0.71,1.32,43.18,56.83
9.38,9.38,17.97,9.38,13.28,29.69,10.94,79.7,20.32,0.59,1.28,36.73,63.29,12.5,12.5,16.41,12.5,9.38,27.34,9.38,78.13,21.88,0.69,1.28,41.41,58.6
9.23,8.46,20.0,9.23,12.31,29.23,11.54,79.23,20.77,0.61,1.3,37.69,62.31,13.08,11.54,17.69,10.77,9.23,28.46,9.23,80.0,20.0,0.69,1.3,42.31,57.69
9.16,9.16,18.32,10.69,12.98,29.01,10.69,78.63,21.38,0.62,1.31,36.64,63.37,12.21,11.45,17.56,11.45,9.16,27.48,10.69,77.86,22.14,0.69,1.31,41.22,58.78
10.71,9.29,16.43,10.71,15.0,25.71,12.14,77.14,22.85,0.66,1.4,36.43,63.56,12.59,11.11,17.04,10.37,11.11,26.67,11.11,78.52,21.48,0.69,1.35,40.74,59.26
9.85,9.85,18.18,9.85,12.88,28.03,11.36,78.79,21.21,0.63,1.32,37.88,62.12,15.33,10.22,16.06,12.41,9.49,27.01,9.49,78.11,21.9,0.74,1.37,41.61,58.4
10.22,9.49,16.06,12.41,11.68,29.2,10.95,76.65,23.36,0.66,1.37,35.77,64.24,12.59,11.11,16.3,11.11,10.37,25.93,12.59,76.3,23.7,0.69,1.35,40.0,60.0
12.08,9.4,12.75,10.74,21.48,25.5,8.05,81.21,18.79,0.67,1.49,34.23,65.77,11.59,11.59,17.39,10.87,13.04,23.91,11.59,77.52,22.46,0.71,1.38,40.57,59.41
