Rtoe_off,Rfeet_adjacent,Rtibia_vertical,Rinitial_contact,Rfoot_flat,Rheel_rise,R__oppo_heel,Ltoe_off,Lfeet_adjacent,Ltibia_vertical,Linitial_contact,Lfoot_flat,Lheel_rise,L__oppo_heel
19786,19792,19806,19823,19837,19981,19874,19736,19741,19755,19769,19786,19822,19823
19892,19898,19912,19931,19943,20086,19979,19837,19845,19859,19874,19892,19928,19931
19997,20003,20016,20036,20047,20193,20087,19943,19951,19965,19979,19997,20032,20036
20103,20113,20127,20143,20156,20299,20198,20047,20054,20069,20087,20103,20142,20143
20209,20219,20232,20250,20262,20406,20301,20156,20163,20177,20198,20209,20248,20250
20315,20324,20337,20356,20368,20508,20407,20262,20269,20283,20301,20315,20353,20356
20420,20425,20439,20457,20470,20612,20506,20368,20377,20391,20407,20420,20455,20457
20523,20530,20543,20560,20571,20718,20612,20470,20478,20492,20506,20523,20558,20560
20629,20639,20652,20671,20684,20822,20719,20571,20581,20594,20612,20629,20669,20671
20734,20744,20757,20773,20785,20926,20821,20684,20688,20702,20719,20734,20772,20773
20838,20846,20859,20878,20888,21031,20923,20785,20792,20806,20821,20838,20874,20878
20941,20949,20963,20980,20992,21138,21029,20888,20895,20911,20923,20941,20978,20980
21046,21055,21068,21087,21099,21240,21135,20992,21000,21015,21029,21046,21084,21087
21154,21162,21175,21194,21206,21342,21242,21099,21107,21122,21135,21154,21191,21194
21255,21264,21277,21296,21308,21449,21342,21206,21211,21225,21242,21255,21293,21296
21357,21364,21378,21398,21412,21552,21449,21308,21314,21326,21342,21357,21396,21398
21464,21472,21485,21503,21516,21657,21550,21412,21420,21434,21449,21464,21501,21503
21568,21577,21590,21607,21620,21763,21657,21516,21521,21535,21550,21568,21606,21607
21673,21682,21695,21712,21724,21865,21761,21620,21625,21640,21657,21673,21710,21712
21779,21785,21799,21818,21829,21966,21866,21724,21732,21747,21761,21779,21815,21818
21879,21886,21900,21917,21929,22063,21963,21829,21836,21850,21866,21879,21915,21917
21981,21987,22000,22019,22029,22170,22061,21929,21936,21950,21963,21981,22015,22019
22077,22086,22101,22117,22132,22277,22166,22029,22034,22049,22061,22077,22117,22117
22185,22194,22208,22225,22239,22389,22280,22132,22140,22154,22166,22185,22224,22225
22293,22300,22316,22330,22349,22497,22389,22239,22249,22261,22280,22293,22333,22330
22403,22417,22433,22446,22460,22594,22494,22349,22361,22374,22389,22403,22447,22446
22511,22519,22533,22549,22561,22692,22592,22460,22468,22483,22494,22511,22548,22549
22609,22615,22628,22645,22657,22793,22691,22561,22565,22579,22592,22609,22643,22645
22708,22714,22727,22745,22757,22896,22792,22657,22662,22676,22691,22708,22743,22745
22808,22816,22829,22845,22859,22999,22896,22757,22762,22777,22792,22808,22845,22845
22911,22919,22931,22949,22962,23103,22997,22859,22866,22880,22896,22911,22947,22949
23014,23025,23037,23053,23066,23207,23101,22962,22968,22983,22997,23014,23052,23053
23118,23127,23140,23158,23171,23308,23206,23066,23072,23088,23101,23118,23156,23158
23223,23230,23243,23259,23272,23409,23307,23171,23177,23191,23206,23223,23258,23259
23323,23331,23344,23362,23374,23514,23407,23272,23278,23293,23307,23323,23360,23362
23425,23433,23445,23463,23475,23615,23513,23374,23379,23393,23407,23425,23461,23463
23529,23537,23550,23568,23581,23719,23613,23475,23483,23498,23513,23529,23566,23568
23631,23640,23654,23671,23683,23820,23717,23581,23585,23599,23613,23631,23669,23671
23735,23741,23753,23773,23784,23926,23819,23683,23689,23703,23717,23735,23769,23773
23835,23843,23854,23877,23886,24027,23924,23784,23791,23804,23819,23835,23871,23877
23940,23946,23960,23977,23989,24130,24025,23886,23895,23911,23924,23940,23975,23977
24042,24051,24064,24082,24093,24233,24129,23989,23997,24012,24025,24042,24079,24082
24146,24155,24167,24186,24196,24335,24231,24093,24100,24114,24129,24146,24182,24186
24248,24254,24268,24286,24297,24435,24334,24196,24203,24218,24231,24248,24283,24286
24349,24357,24371,24388,24400,24537,24436,24297,24305,24320,24334,24349,24386,24388
24449,24456,24469,24487,24499,24641,24536,24400,24406,24420,24436,24449,24485,24487
24553,24558,24572,24592,24603,24749,24639,24499,24506,24521,24536,24553,24588,24592
24656,24664,24677,24697,24709,24858,24744,24603,24610,24625,24639,24656,24694,24697
24765,24773,24787,24804,24817,24965,24854,24709,24718,24732,24744,24765,24803,24804
24873,24881,24895,24913,24927,25077,24962,24817,24827,24842,24854,24873,24912,24913
24981,24989,25004,25018,25037,25191,25076,24927,24934,24948,24962,24981,25021,25018
25094,25104,25121,25135,25154,25297,25190,25037,25047,25059,25076,25094,25138,25135
25206,25216,25230,25246,25259,25398,25296,25154,25163,25175,25190,25206,25245,25246
25313,25319,25332,25351,25364,25498,25395,25259,25268,25281,25296,25313,25349,25351
25413,25420,25434,25451,25462,25600,25496,25364,25368,25382,25395,25413,25449,25451
25513,25520,25532,25552,25563,25703,25598,25462,25468,25482,25496,25513,25548,25552
25614,25622,25634,25653,25664,25806,25700,25563,25570,25585,25598,25614,25650,25653
25717,25724,25738,25755,25765,25907,25806,25664,25673,25688,25700,25717,25752,25755
25821,25830,25843,25859,25872,26011,25904,25765,25775,25790,25806,25821,25858,25859
25923,25930,25942,25961,25973,26117,26009,25872,25877,25891,25904,25923,25958,25961
26026,26035,26048,26067,26079,26223,26116,25973,25981,25996,26009,26026,26064,26067
26133,26143,26156,26174,26186,26325,26222,26079,26086,26100,26116,26133,26172,26174
26239,26248,26261,26278,26291,26431,26322,26186,26192,26206,26222,26239,26277,26278
26340,26348,26362,26380,26391,26538,26428,26291,26295,26309,26322,26340,26377,26380
26446,26454,26468,26485,26497,26646,26537,26391,26400,26415,26428,26446,26483,26485
26554,26564,26577,26596,26608,26747,26643,26497,26508,26522,26537,26554,26593,26596
26661,26667,26680,26700,26711,26851,26748,26608,26614,26630,26643,26661,26696,26700
26762,26769,26782,26800,26812,26957,26848,26711,26719,26731,26748,26762,26798,26800
26866,26874,26887,26906,26919,27062,26955,26812,26820,26835,26848,26866,26904,26906
26972,26979,26993,27011,27023,27167,27060,26919,26926,26941,26955,26972,27009,27011
27078,27087,27100,27119,27130,27271,27165,27023,27030,27045,27060,27078,27116,27119
27182,27189,27203,27223,27234,27377,27268,27130,27136,27151,27165,27182,27219,27223
27287,27294,27307,27326,27338,27486,27375,27234,27240,27255,27268,27287,27323,27326
27392,27401,27415,27434,27446,27595,27484,27338,27347,27362,27375,27392,27431,27434
27502,27511,27524,27546,27556,27707,27594,27446,27455,27469,27484,27502,27541,27546
27611,27623,27636,27655,27669,27823,27704,27556,27565,27579,27594,27611,27653,27655
27723,27732,27746,27764,27779,27951,27820,27669,27675,27690,27704,27723,27763,27764
27838,27853,27871,27891,27909,28074,27949,27779,27792,27807,27820,27838,27891,27891
27969,27989,28005,28020,28037,28185,28069,27909,27922,27932,27949,27969,28022,28020
