R_initial_swing,R_mid_swing,R_terminal_swing,R_loading_response,R_mid_stance,R_terminal_stance,R_pre_swing,R_one_response,R_two_response,R_one_distance,R_two_distance,R_swing_phase,R_stance_phase,L_initial_swing,L_mid_swing,L_terminal_swing,L_loading_response,L_mid_stance,L_terminal_stance,L_pre_swing,L_one_response,L_two_response,L_one_distance,L_two_distance,L_swing_phase,L_stance_phase
7.69,10.58,22.12,9.62,2.88,34.62,12.5,77.89,22.12,0.52,1.04,40.39,59.62,2.88,12.5,22.12,12.5,7.69,31.73,10.58,76.92,23.08,0.52,1.04,37.5,62.5
7.62,9.52,21.9,10.48,2.86,35.24,12.38,77.14,22.86,0.52,1.05,39.04,60.96,2.94,12.75,23.53,12.75,5.88,32.35,9.8,77.45,22.55,0.53,1.02,39.22,60.78
5.83,9.71,22.33,9.71,5.83,33.98,12.62,77.68,22.33,0.49,1.03,37.87,62.14,5.71,13.33,20.0,12.38,5.71,32.38,10.48,77.13,22.86,0.54,1.05,39.04,60.95
5.66,10.38,21.7,10.38,5.66,32.08,14.15,75.48,24.53,0.51,1.06,37.74,62.27,5.71,12.38,20.0,14.29,5.71,31.43,10.48,75.23,24.77,0.55,1.05,38.09,61.91
5.71,9.52,21.9,10.48,6.67,33.33,12.38,77.13,22.86,0.5,1.05,37.13,62.86,6.54,10.28,22.43,12.15,8.41,29.91,10.28,77.57,22.43,0.55,1.07,39.25,60.75
8.57,9.52,20.95,10.48,3.81,34.29,12.38,77.14,22.86,0.52,1.05,39.04,60.96,3.77,12.26,21.7,12.26,6.6,33.02,10.38,77.35,22.64,0.53,1.06,37.73,62.26
6.42,9.17,22.94,10.09,4.59,35.78,11.01,78.9,21.1,0.53,1.09,38.53,61.47,4.55,12.73,22.73,10.91,4.55,24.55,20.0,69.11,30.91,0.56,1.1,40.01,60.01
4.24,8.47,14.41,18.64,7.63,33.9,12.71,68.65,31.35,0.54,1.18,27.12,72.88,7.96,12.39,23.01,13.27,6.19,29.2,7.96,78.75,21.23,0.64,1.13,43.36,56.62
6.8,11.65,20.39,8.74,3.88,36.89,11.65,79.61,20.39,0.49,1.03,38.84,61.16,3.92,13.73,23.53,11.76,3.92,33.33,9.8,78.43,21.56,0.54,1.02,41.18,58.81
4.0,10.0,24.0,10.0,4.0,35.0,13.0,77.0,23.0,0.48,1.0,38.0,62.0,3.88,12.62,21.36,12.62,7.77,32.04,9.71,77.67,22.33,0.52,1.03,37.86,62.14
7.84,8.82,23.53,9.8,0.98,37.25,11.76,78.42,21.56,0.51,1.02,40.19,59.79,0.97,13.59,23.3,11.65,7.77,32.04,10.68,77.67,22.33,0.51,1.03,37.86,62.14
7.62,9.52,21.9,10.48,2.86,36.19,11.43,78.09,21.91,0.52,1.05,39.04,60.96,2.88,13.46,23.08,11.54,6.73,32.69,9.62,78.84,21.16,0.53,1.04,39.42,60.58
6.6,9.43,22.64,9.43,3.77,35.85,12.26,78.29,21.69,0.51,1.06,38.67,61.31,3.74,14.02,21.5,12.15,6.54,31.78,10.28,77.58,22.43,0.55,1.07,39.26,60.75
6.48,9.26,22.22,10.19,3.7,36.11,12.04,77.77,22.23,0.52,1.08,37.96,62.04,3.64,12.73,22.73,11.82,7.27,32.73,9.09,79.1,20.91,0.56,1.1,39.1,60.91
7.21,9.91,22.52,9.01,4.5,36.04,10.81,80.18,19.82,0.54,1.11,39.64,60.36,4.63,13.89,23.15,11.11,5.56,31.48,10.19,78.71,21.3,0.57,1.08,41.67,58.34
5.45,9.09,21.82,10.0,7.27,34.55,11.82,78.18,21.82,0.51,1.1,36.36,63.64,7.21,13.51,20.72,11.71,7.21,31.53,8.11,80.18,19.82,0.59,1.11,41.44,58.56
