R_initial_swing,R_mid_swing,R_terminal_swing,R_loading_response,R_mid_stance,R_terminal_stance,R_pre_swing,R_one_response,R_two_response,R_one_distance,R_two_distance,R_swing_phase,R_stance_phase,L_initial_swing,L_mid_swing,L_terminal_swing,L_loading_response,L_mid_stance,L_terminal_stance,L_pre_swing,L_one_response,L_two_response,L_one_distance,L_two_distance,L_swing_phase,L_stance_phase
6.19,10.31,20.62,9.28,7.22,31.96,14.43,76.3,23.71,0.45,0.97,37.12,62.89,10.31,11.34,19.59,12.37,6.19,30.93,9.28,78.36,21.65,0.52,0.97,41.24,58.77
5.21,10.42,17.71,11.46,9.38,33.33,12.5,76.05,23.96,0.43,0.96,33.34,66.67,7.37,13.68,18.95,14.74,5.26,28.42,11.58,73.68,26.32,0.52,0.95,40.0,60.0
5.05,10.1,20.2,9.09,10.1,33.33,12.12,78.78,21.21,0.44,0.99,35.35,64.64,9.28,13.4,19.59,12.37,5.15,30.93,9.28,78.35,21.65,0.53,0.97,42.27,57.73
5.21,10.42,19.79,10.42,11.46,30.21,12.5,77.09,22.92,0.44,0.96,35.42,64.59,10.1,13.13,20.2,12.12,5.05,29.29,10.1,77.77,22.22,0.55,0.99,43.43,56.56
6.59,9.89,19.78,10.99,7.69,32.97,12.09,76.92,23.08,0.43,0.91,36.26,63.74,11.58,12.63,17.89,12.63,6.32,28.42,10.53,76.84,23.16,0.52,0.95,42.1,57.9
4.35,10.87,21.74,9.78,8.7,31.52,13.04,77.18,22.82,0.43,0.92,36.96,63.04,7.69,13.19,19.78,12.09,4.4,32.97,9.89,78.03,21.98,0.48,0.91,40.66,59.35
4.49,10.11,22.47,8.99,7.87,32.58,13.48,77.52,22.47,0.41,0.89,37.07,62.92,8.89,13.33,18.89,13.33,4.44,32.22,8.89,77.77,22.22,0.49,0.9,41.11,58.88
4.3,10.75,19.35,10.75,6.45,34.41,13.98,75.26,24.73,0.42,0.93,34.4,65.59,7.78,13.33,18.89,13.33,4.44,31.11,11.11,75.55,24.44,0.48,0.9,40.0,59.99
6.19,9.28,18.56,11.34,8.25,32.99,13.4,75.27,24.74,0.44,0.97,34.03,65.98,6.32,13.68,20.0,13.68,6.32,28.42,11.58,74.74,25.26,0.51,0.95,40.0,60.0
3.23,9.68,22.58,9.68,8.6,33.33,12.9,77.42,22.58,0.42,0.93,35.49,64.51,8.42,12.63,21.05,13.68,3.16,31.58,9.47,76.84,23.15,0.53,0.95,42.1,57.89
3.0,10.0,21.0,9.0,9.0,35.0,13.0,78.0,22.0,0.43,1.0,34.0,66.0,8.51,12.77,20.21,12.77,3.19,32.98,9.57,77.66,22.34,0.51,0.94,41.49,58.51
4.81,8.65,21.15,8.65,11.54,32.69,12.5,78.84,21.15,0.45,1.04,34.61,65.38,8.82,13.73,20.59,12.75,4.9,30.39,8.82,78.43,21.57,0.57,1.02,43.14,56.86
4.12,10.31,20.62,9.28,10.31,32.99,12.37,78.35,21.65,0.43,0.97,35.05,64.95,11.76,13.73,19.61,12.75,3.92,29.41,8.82,78.43,21.57,0.59,1.02,45.1,54.9
6.12,9.18,21.43,9.18,8.16,33.67,12.24,78.56,21.42,0.45,0.98,36.73,63.25,10.1,13.13,19.19,12.12,6.06,30.3,9.09,78.78,21.21,0.54,0.99,42.42,57.57
5.38,9.68,21.51,8.6,9.68,31.18,13.98,77.43,22.58,0.42,0.93,36.57,63.44,8.42,14.74,20.0,12.63,5.26,30.53,8.42,78.95,21.05,0.53,0.95,43.16,56.84
2.11,9.47,21.05,9.47,10.53,33.68,13.68,76.84,23.15,0.4,0.95,32.63,67.36,9.89,13.19,18.68,14.29,2.2,31.87,9.89,75.83,24.18,0.51,0.91,41.76,58.25
4.12,9.28,20.62,10.31,10.31,32.99,12.37,77.32,22.68,0.43,0.97,34.02,65.98,10.2,12.24,20.41,13.27,4.08,29.59,10.2,76.52,23.47,0.55,0.98,42.85,57.14
4.08,9.18,21.43,9.18,13.27,31.63,11.22,79.59,20.4,0.43,0.98,34.69,65.3,10.31,13.4,19.59,12.37,4.12,30.93,9.28,78.35,21.65,0.54,0.97,43.3,56.7
7.48,10.28,16.82,10.28,14.02,29.91,11.21,78.51,21.49,0.48,1.07,34.58,65.42,12.62,11.65,18.45,10.68,7.77,28.16,10.68,78.65,21.36,0.55,1.03,42.72,57.29
12.0,10.0,14.0,11.0,9.0,31.0,13.0,76.0,24.0,0.47,1.0,36.0,64.0,14.15,10.38,19.81,11.32,11.32,22.64,10.38,78.3,21.7,0.59,1.06,44.34,55.66
6.12,9.18,20.41,8.16,9.18,32.65,14.29,77.54,22.45,0.43,0.98,35.71,64.28,9.38,12.5,19.79,13.54,6.25,30.21,8.33,78.13,21.87,0.53,0.96,41.67,58.33
3.16,10.53,22.11,8.42,8.42,34.74,12.63,78.96,21.05,0.42,0.95,35.8,64.21,9.28,13.4,19.59,14.43,3.09,31.96,8.25,77.32,22.68,0.55,0.97,42.27,57.73
3.19,9.57,21.28,9.57,9.57,34.04,12.77,77.65,22.34,0.41,0.94,34.04,65.95,8.51,13.83,21.28,12.77,3.19,30.85,9.57,77.66,22.34,0.53,0.94,43.62,56.38
3.23,10.75,21.51,8.6,10.75,31.18,13.98,77.42,22.58,0.41,0.93,35.49,64.51,9.57,13.83,20.21,12.77,3.19,31.91,8.51,78.71,21.28,0.53,0.94,43.61,56.38
2.13,9.57,22.34,8.51,8.51,36.17,12.77,78.72,21.28,0.4,0.94,34.04,65.96,10.87,13.04,18.48,14.13,2.17,32.61,8.7,77.17,22.83,0.52,0.92,42.39,57.61
4.17,9.38,21.88,8.33,10.42,32.29,13.54,78.14,21.87,0.42,0.96,35.43,64.58,8.33,14.58,20.83,12.5,4.17,31.25,8.33,79.16,20.83,0.54,0.96,43.74,56.25
2.13,9.57,22.34,8.51,12.77,31.91,12.77,78.72,21.28,0.4,0.94,34.04,65.96,10.64,13.83,19.15,13.83,2.13,31.91,8.51,77.66,22.34,0.54,0.94,43.62,56.38
4.17,10.42,21.88,9.38,10.42,30.21,13.54,77.1,22.92,0.44,0.96,36.47,63.55,12.24,13.27,17.35,12.24,4.08,31.63,9.18,78.57,21.42,0.54,0.98,42.86,57.13
4.12,9.28,21.65,9.28,9.28,34.02,12.37,78.35,21.65,0.43,0.97,35.05,64.95,10.53,12.63,17.89,13.68,4.21,31.58,9.47,76.84,23.15,0.52,0.95,41.05,58.94
4.0,9.0,22.0,9.0,9.0,35.0,12.0,79.0,21.0,0.44,1.0,35.0,65.0,9.18,13.27,20.41,12.24,4.08,31.63,9.18,78.57,21.42,0.54,0.98,42.86,57.13
